State,Constituency,Party,Candidate,Votes,Votes Percentage
Andhra Pradesh,Araku ,Yuvajana Sramika Rythu Congress Party,GUMMA THANUJA RANI,477005,0.000739126
Andhra Pradesh,Araku ,Bharatiya Janata Party,KOTHAPALLI GEETHA,426425,0.000660752
Andhra Pradesh,Araku ,Communist Party of India  (Marxist),APPALANARASA PACHIPENTA,123129,0.00019079
Andhra Pradesh,Araku ,Bahujan Samaj Party,AVASHYA LAHARI . VARAM,25750,3.99E-05
Andhra Pradesh,Araku ,Independent,SAMAREDDY BALAKRISHNA,9535,1.48E-05
Andhra Pradesh,Araku ,Independent,NIMMAKA JAYARAJU,9462,1.47E-05
Andhra Pradesh,Araku ,Independent,ATHIDHI,8136,1.26E-05
Andhra Pradesh,Araku ,Jai Bharat National Party,CHANTI BADNAINA,7252,1.12E-05
Andhra Pradesh,Araku ,Bharat Adivasi Party,MOTTADAM . RAJABABU,6766,1.05E-05
Andhra Pradesh,Araku ,Independent,RANJITH KUMAR PALAKA,6047,9.37E-06
Andhra Pradesh,Araku ,Independent,MANDALA GIRIDHARA RAO,4967,7.70E-06
Andhra Pradesh,Araku ,Telugu Rajadhikara Samiti Party,RAMBABU JALLI,4959,7.68E-06
Andhra Pradesh,Araku ,India Praja Bandhu Party,VUYAKA NIREEKSHAN  (V. CHENCHU),4542,7.04E-06
Andhra Pradesh,Araku ,None of the Above,NOTA,50470,7.82E-05
Andhra Pradesh,Srikakulam,Telugu Desam,KINJARAPU RAMMOHAN NAIDU,754328,0.001168842
Andhra Pradesh,Srikakulam,Yuvajana Sramika Rythu Congress Party,TILAK PERADA,426427,0.000660755
Andhra Pradesh,Srikakulam,Indian National Congress,PEDADA PARAMESWARA RAO,7172,1.11E-05
Andhra Pradesh,Srikakulam,Independent,SANAPALA SRAVAN KUMAR,5958,9.23E-06
Andhra Pradesh,Srikakulam,Bahujan Samaj Party,NAIDUGARI RAJASEKHAR,4742,7.35E-06
Andhra Pradesh,Srikakulam,Independent,VABA YOGESWARA RAO,3598,5.58E-06
